,ilocano,kapampangan,maguindanao,ibanag,tausug,pangasinan,kankanaey,tagalog,cebuano,hiligaynon,bikol,maranao,waray,chavacano,spanish,english
ilocano,0.0,0.611,0.525,0.537,0.613,0.507,0.562,0.606,0.597,0.569,0.536,0.5,0.575,0.742,0.84,0.869
kapampangan,0.611,0.0,0.523,0.603,0.517,0.526,0.604,0.221,0.401,0.39,0.392,0.57,0.589,0.775,0.864,0.821
maguindanao,0.525,0.523,-0.0,0.486,0.397,0.437,0.512,0.503,0.469,0.448,0.346,0.362,0.517,0.704,0.83,0.881
ibanag,0.537,0.603,0.486,0.0,0.529,0.447,0.508,0.54,0.527,0.468,0.479,0.538,0.435,0.606,0.8,0.876
tausug,0.613,0.517,0.397,0.529,-0.0,0.441,0.429,0.459,0.449,0.406,0.31,0.413,0.377,0.686,0.842,0.848
pangasinan,0.507,0.526,0.437,0.447,0.441,0.0,0.316,0.494,0.515,0.448,0.328,0.335,0.425,0.61,0.757,0.742
kankanaey,0.562,0.604,0.512,0.508,0.429,0.316,-0.0,0.519,0.586,0.547,0.406,0.483,0.543,0.594,0.768,0.824
tagalog,0.606,0.221,0.503,0.54,0.459,0.494,0.519,0.0,0.229,0.204,0.273,0.491,0.502,0.738,0.859,0.818
cebuano,0.597,0.401,0.469,0.527,0.449,0.515,0.586,0.229,0.0,0.142,0.277,0.43,0.398,0.699,0.854,0.851
hiligaynon,0.569,0.39,0.448,0.468,0.406,0.448,0.547,0.204,0.142,0.0,0.243,0.416,0.356,0.643,0.834,0.839
bikol,0.536,0.392,0.346,0.479,0.31,0.328,0.406,0.273,0.277,0.243,-0.0,0.324,0.309,0.677,0.812,0.802
maranao,0.5,0.57,0.362,0.538,0.413,0.335,0.483,0.491,0.43,0.416,0.324,0.0,0.42,0.679,0.819,0.833
waray,0.575,0.589,0.517,0.435,0.377,0.425,0.543,0.502,0.398,0.356,0.309,0.42,0.0,0.705,0.821,0.828
chavacano,0.742,0.775,0.704,0.606,0.686,0.61,0.594,0.738,0.699,0.643,0.677,0.679,0.705,0.0,0.375,0.805
spanish,0.84,0.864,0.83,0.8,0.842,0.757,0.768,0.859,0.854,0.834,0.812,0.819,0.821,0.375,-0.0,0.764
english,0.869,0.821,0.881,0.876,0.848,0.742,0.824,0.818,0.851,0.839,0.802,0.833,0.828,0.805,0.764,-0.0
